female.black,male.black,female.non black hispanic,male.non black hispanic,female.other,male.other,female.white,male.white
-2.71E-01,-2.07E-01,-2.35E-01,-1.90E-01,-2.88E-01,-2.14E-01,-2.43E-01,-1.87E-01
10.703514,9.77E+00,9.790502,9.16E+00,10.67411,9.80E+00,10.2394,9.58E+00
64.425055,67.144017,65.561734,68.04092,63.201,66.20776,64.029169,66.106231
