female.asian,male.asian,female.black,male.black,female.other,male.other,female.white,male.white
0.0000E+00,0.0000E+00,-3.8720E-03,-5.1430E-03,0.0000E+00,0.0000E+00,-2.2700E-03,-2.9490E-03
-1.5989E-01,-7.9580E-02,2.2436E-01,2.9524E-01,-1.5330E-01,-4.1170E-02,9.8900E-02,1.4680E-01
1.6306E+02,1.7416E+02,1.6037E+02,1.7157E+02,1.6478E+02,1.7339E+02,1.6300E+02,1.7590E+02
