female.black,male.black,female.non black hispanic,male.non black hispanic,female.other,male.other,female.white,male.white
-1.98E-03,-4.58E-03,-1.82E-03,-1.89E-03,-1.98E-03,7.51E-04,-3.19E-03,-2.74E-03
1.19E-01,3.50E-01,7.02E-02,1.13E-01,7.61E-02,-1.58E-01,1.96E-01,1.77E-01
1.63E+02,1.71E+02,1.57E+02,1.69E+02,1.59E+02,1.76E+02,1.61E+02,1.75E+02
