female.asian,male.asian,female.black,male.black,female.other,male.other,female.white,male.white
0.00E+00,0.00E+00,-2.17E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.06335,0.0977,0.55442,0.11937,0.006069,0.10598,0.042796,0.09275
2.47155,2.1385,0.04159,1.75604,3.441184,2.0578,2.848785,2.06972
6.83523,8.3016,11.18051,10.90529,5.111197,8.34003,6.245442,8.78988
