female.asian,male.asian,female.black,male.black,female.other,male.other,female.white,male.white
-6.74E-03,-1.23E-02,-1.29E-02,-1.01E-02,-3.80E-03,0.00E+00,-5.90E-03,-1.23E-02
0.687893,1.139336,1.433041,0.868851,0.409479,0,0.6405875,1.2345223
50.496439,53.888286,39.760419,67.358372,51.659803,77.727,55.3950268,57.2864818
