female.black,male.black,female.non black hispanic,male.non black hispanic,female.other,male.other,female.white,male.white
-1.02E-02,-1.23E-02,-1.03E-02,-9.02E-03,1.25E-02,-9.47E-03,-1.41E-03,-9.57E-03
3.62E-01,4.21E-01,3.45E-01,3.20E-01,-1.85E-01,2.83E-01,1.44E-01,3.49E-01
5.82E-01,-8.02E-02,4.99E-01,5.49E-01,3.39E+00,1.04E+00,1.63E+00,3.91E-01
8.862135,1.04E+01,9.249848,9.88437,6.3985,8.600217,7.473783,9.12E+00
